City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,77.9,broken clouds,-9.8,-139.0333,Villa Enata
30,Waingapu,ID,75.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
33,Touros,BR,76.95,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
37,Bandar-E Lengeh,IR,86.61,clear sky,26.5579,54.8807,کافی نت پارس
38,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
46,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Port Alfred,ZA,76.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
51,Port Blair,IN,81.41,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
56,Matara,LK,78.31,light rain,5.9485,80.5353,Amaloh Boutique Resort
60,Mamallapuram,IN,83.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
61,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Lamu,KE,75.42,light rain,-2.2717,40.902,Lamu House
71,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
72,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
75,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
80,Papara,BR,79.68,broken clouds,-3.9839,-38.7273,Bela vista Maranguape
85,Salinopolis,BR,78.73,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
87,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
90,Cabra,ES,76.66,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
91,Kudahuvadhoo,MV,83.41,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
92,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
98,Mangrol,IN,81.97,broken clouds,21.1167,70.1167,Hotel The Royal Honours
102,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
103,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
107,Pemangkat,ID,78.04,overcast clouds,1.1667,108.9667,Ramah Kost KITA
110,Akyab,MM,81.45,broken clouds,20.15,92.9,Hotel Memory
118,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
122,Redding,US,80.37,few clouds,40.5865,-122.3917,Redding Inn & Suites
125,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Andros Town,BS,84.16,clear sky,24.7,-77.7667,Hanks place
137,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
139,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
141,Pizarro,CO,78.98,overcast clouds,4.9533,-77.366,Hotel Limonar
144,Mahibadhoo,MV,83.21,overcast clouds,3.7833,72.9667,Omadhoo Inn
149,Hambantota,LK,80.38,overcast clouds,6.1241,81.1185,Bungalow 63
151,Tulagi,SB,82.26,few clouds,-9.0996,160.1476,Raiders Hotel & Dive
157,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
163,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
166,Laguna,US,85.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
167,Moroni,KM,75.16,scattered clouds,-11.7022,43.2551,Hotel Les Arcades
169,Faanui,PF,79.79,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Dingle,PH,80.33,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
177,Kota Bahru,MY,78.75,few clouds,6.1333,102.2386,Grand Riverview Hotel
184,Sassandra,CI,77.38,overcast clouds,4.95,-6.0833,la terrasse
188,Butaritari,KI,82.24,few clouds,3.0707,172.7902,Isles Sunset Lodge
202,Bubaque,GW,80.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
208,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
216,Kavieng,PG,82.0,moderate rain,-2.5744,150.7967,Nusa Island Retreat
222,Hun,LY,75.97,clear sky,29.1268,15.9477,Alrwasi Hotel
224,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
226,Kirakira,SB,84.16,scattered clouds,-10.4544,161.9205,SanBiz Lodge
234,Axim,GH,76.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
249,Ixtapa,MX,87.03,scattered clouds,20.7,-105.2,hotel la terminal
251,Umm Lajj,SA,83.14,clear sky,25.0213,37.2685,Moon light Furnished Units
256,Lhokseumawe,ID,76.62,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
257,Nabire,ID,77.45,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
260,Kulhudhuffushi,MV,82.8,overcast clouds,6.6221,73.07,Haajy Guest House 1
266,Fare,PF,79.27,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
269,Doembang Nangbuat,TH,81.05,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
270,Acarau,BR,77.4,scattered clouds,-2.8856,-40.12,castelo pizzaria
271,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
273,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
274,Kailua,US,87.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
286,Bandarbeyla,SO,79.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
288,Sola,VU,80.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
298,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
300,Nakhon Thai,TH,75.29,overcast clouds,17.1006,100.8374,Phet resort
304,Sibolga,ID,75.09,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
305,Ahuimanu,US,87.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
306,Lorengau,PG,82.81,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
310,Victoria,HK,84.96,overcast clouds,22.2855,114.1577,Mini Central
316,Saint Anthony,US,81.03,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
317,Khamgaon,IN,82.18,broken clouds,20.6833,76.5667,Gurukrupa Inn Hotel
318,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
323,Kathu,TH,85.75,broken clouds,7.9178,98.3332,Novotel Phuket Resort
326,Coahuayana,MX,88.54,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
340,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
341,Lazaro Cardenas,MX,86.0,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
347,Sinnamary,GF,78.37,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
349,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
351,Am Timan,TD,76.26,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
352,Tautira,PF,78.15,broken clouds,-17.7333,-149.15,Pension Oaoa
372,Belle Fourche,US,76.55,scattered clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
377,Tual,ID,83.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
384,Madang,PG,79.72,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
385,Hyeres,FR,75.85,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
387,Bhavani,IN,79.39,overcast clouds,11.45,77.6833,Hotel Paviesh Park
391,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
394,Buchanan,LR,77.23,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
398,Pekalongan,ID,77.72,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
409,Sao Miguel Do Araguaia,BR,77.65,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
412,East London,ZA,75.9,overcast clouds,-33.0153,27.9116,Tu Casa
413,Dwarka,IN,84.36,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
415,Pandan,PH,83.44,overcast clouds,14.0453,124.1694,Bonifacio Lodge
418,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
419,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,Maharlika Hostel
423,San Pedro,PH,85.32,few clouds,14.35,121.0167,Esquivel's Garden And Resort
426,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
436,Saint Paul,US,81.66,clear sky,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
439,Flagstaff,US,89.1,smoke,35.1981,-111.6513,Drury Inn & Suites Flagstaff
442,Korla,CN,80.31,clear sky,41.7597,86.1469,Gulisitan Hotel
453,Flin Flon,CA,75.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
461,Shache,CN,75.7,broken clouds,38.4167,77.2406,Delong Hotel
463,Lingao,CN,80.46,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
466,Butterworth,MY,77.05,few clouds,5.3991,100.3638,Cititel Penang
469,Tecozautla,MX,79.27,scattered clouds,20.5333,-99.6333,Hotel Tecozautla
470,Immokalee,US,87.94,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
471,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
474,Grand Forks,US,85.73,broken clouds,47.9417,-97.4337,Warrior Inn
475,Daru,PG,78.49,overcast clouds,-9.0763,143.2092,Daru Lodge
479,Bandundu,CD,76.55,scattered clouds,-3.3167,17.3667,Coja Color
482,Hamilton,US,83.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
483,Teacapan,MX,85.23,clear sky,22.55,-105.75,Hotel los Mangos
489,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
494,Winnemucca,US,84.25,haze,40.973,-117.7357,Winners Inn Casino
498,Moerai,PF,75.87,overcast clouds,-22.4333,-151.3333,Le Manotel
501,Kavaratti,IN,82.92,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
507,Wewak,PG,80.74,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
509,Maragogi,BR,76.24,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
518,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
523,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
538,Sacramento,US,85.6,clear sky,38.4666,-121.3177,Manda’s House oly 100 sqft
542,Marion,US,83.55,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
545,Bol,TD,82.96,broken clouds,13.4586,14.7147,Harrouni camp de passage
549,Luganville,VU,82.27,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
552,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
556,Qui Nhon,VN,80.37,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
561,Mitsamiouli,KM,77.29,scattered clouds,-11.3847,43.2844,Foyer ADM
564,Srandakan,ID,76.1,overcast clouds,-7.9386,110.2506,Puri Brata
571,Teshie,GH,78.24,scattered clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
574,Samarai,PG,82.27,scattered clouds,-10.6167,150.6667,Nuli Sapi
578,Gizo,SB,83.25,scattered clouds,-8.103,156.8419,Imagination Island
584,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
593,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
596,Abnub,EG,82.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
603,Sabha,LY,79.72,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
605,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
607,Baikunthpur,IN,84.96,overcast clouds,23.25,82.55,Hotel Shree Annapurna
608,Lokoja,NG,77.52,broken clouds,7.8024,6.743,Hotel Charvid
615,Andujar,ES,80.67,clear sky,38.0392,-4.0508,Hotel del Val
617,Tegal,ID,77.74,overcast clouds,-6.8694,109.1402,Riez Palace Hotel
618,Balikpapan,ID,75.42,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
620,Puerto Penasco,MX,83.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
626,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
627,Basco,PH,84.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
630,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
635,Chabahar,IR,83.79,clear sky,25.2919,60.643,هتل گدروشیا
640,Luwuk,ID,78.1,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
642,Karaj,IR,79.32,clear sky,35.8355,51.0103,MarMar Hotel
643,Half Moon Bay,US,75.11,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
645,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
648,Kupang,ID,76.57,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
654,Honiara,SB,84.13,few clouds,-9.4333,159.95,Heritage Park Hotel
658,Dogondoutchi,NE,89.53,light rain,13.6393,4.0287,Hôtel Alheri Maison Alheri
662,Sur,OM,81.82,clear sky,22.5667,59.5289,Sur Plaza Hotel
664,Ewo,CG,80.94,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
667,Hobe Sound,US,89.98,overcast clouds,27.0595,-80.1364,Floridays RV Park
671,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
674,Labuhan,ID,77.59,overcast clouds,-6.8844,112.2051,DoubleFAG
677,Yenagoa,NG,75.2,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
683,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
693,Menomonie,US,77.83,overcast clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
