City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bria,CF,6.5423,21.9863,68.02,99,100,1.23,moderate rain
1,Ancud,CL,-41.8697,-73.8203,51.22,84,100,12.26,light rain
2,Rikitea,PF,-23.1203,-134.9692,73.22,71,40,9.98,light rain
3,New Norfolk,AU,-42.7826,147.0587,44.71,85,61,1.01,broken clouds
4,Albany,US,42.6001,-73.9662,70.21,77,96,3.0,overcast clouds
5,Lavrentiya,RU,65.5833,-171.0,40.55,61,99,3.09,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.9,67,73,16.42,broken clouds
7,Hilo,US,19.7297,-155.09,93.27,73,100,5.75,overcast clouds
8,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,30,0,10.36,clear sky
9,Bulawayo,ZW,-20.15,28.5833,48.09,61,0,6.62,clear sky
10,Lida,BY,53.8833,25.2997,50.63,87,64,5.17,broken clouds
11,Pisco,PE,-13.7,-76.2167,62.02,88,40,5.75,mist
12,Koryazhma,RU,61.3143,47.1691,45.25,69,26,2.26,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,93,75,12.66,mist
14,Senneterre,CA,48.3835,-77.2328,56.05,91,65,7.11,broken clouds
15,Kenora,CA,49.8167,-94.4337,61.77,77,75,17.27,broken clouds
16,Saint George,US,37.1041,-113.5841,105.64,5,0,27.63,haze
17,Upernavik,GL,72.7868,-56.1549,30.49,75,91,8.72,overcast clouds
18,Sakakah,SA,29.9697,40.2064,90.97,21,0,9.22,clear sky
19,Hobart,AU,-42.8794,147.3294,45.05,79,20,4.61,few clouds
20,Punta Arenas,CL,-53.15,-70.9167,46.51,81,100,8.05,overcast clouds
21,Periceiu,RO,47.2333,22.8833,60.39,85,2,2.48,clear sky
22,Busselton,AU,-33.65,115.3333,59.5,73,100,22.03,overcast clouds
23,Tocopilla,CL,-22.092,-70.1979,63.57,70,10,9.28,clear sky
24,Kaitangata,NZ,-46.2817,169.8464,41.27,95,62,15.52,broken clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,9.22,mist
26,Jaguarari,BR,-10.2639,-40.1958,69.06,64,4,4.9,clear sky
27,Ouesso,CG,1.6136,16.0517,74.41,79,83,2.3,broken clouds
28,Yellowknife,CA,62.456,-114.3525,68.52,45,75,8.05,broken clouds
29,Chernyshevskiy,RU,63.0128,112.4714,57.38,57,66,1.32,broken clouds
30,Waingapu,ID,-9.6567,120.2641,75.13,77,85,8.75,overcast clouds
31,Usakos,NA,-22.0,15.6,60.3,45,0,3.78,clear sky
32,Fort Nelson,CA,58.8053,-122.7002,69.39,23,40,6.91,scattered clouds
33,Touros,BR,-5.1989,-35.4608,76.95,83,42,9.15,scattered clouds
34,Bilibino,RU,68.0546,166.4372,62.29,36,22,2.44,few clouds
35,Castro,BR,-24.7911,-50.0119,40.28,69,0,2.82,clear sky
36,Codrington,AU,-38.2667,141.9667,53.65,82,99,4.23,overcast clouds
37,Bandar-E Lengeh,IR,26.5579,54.8807,86.61,78,0,18.34,clear sky
38,Buraydah,SA,26.326,43.975,88.25,11,0,8.84,clear sky
39,Erenhot,CN,43.6475,111.9767,59.27,59,64,15.7,broken clouds
40,Cape Town,ZA,-33.9258,18.4232,61.21,85,75,21.85,light rain
41,Adrar,MR,20.5022,-10.0711,92.98,15,3,11.59,clear sky
42,Kodiak,US,57.79,-152.4072,63.91,55,0,9.22,smoke
43,Hermanus,ZA,-34.4187,19.2345,64.8,76,100,20.13,light rain
44,Manuk Mangkaw,PH,4.8,119.85,83.7,66,96,3.18,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,44.47,96,80,13.31,moderate rain
46,Hithadhoo,MV,-0.6,73.0833,83.62,73,100,9.04,overcast clouds
47,Luderitz,NA,-26.6481,15.1594,58.95,62,9,5.06,clear sky
48,Port Alfred,ZA,-33.5906,26.891,76.17,28,100,5.01,overcast clouds
